OGS2	OGS1	Apyrene	Eupyrene	AE	Uniprot_Function	X	Manduca_Sperm	Dmel_Spermo	Function	Manduca_homolog	Dmel_homologs
DPOGS200051	DPOGS107406	TRUE	TRUE	TRUE	Immune-related Hdd1	1	Msex2.07359	NA	calponin homology domain-containing protein ddb_g0272472-like	NA	NA
DPOGS200125	DPOGS111524	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_11524	Msex2.12073	FBgn0038224
DPOGS200137	DPOGS110714	FALSE	TRUE	TRUE	Putative axonemal leucine-rich repeat protein	NA	NA	NA	axonemal leucine-rich repeat protein	NA	FBgn0046697
DPOGS200148	DPOGS102326	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.01000	NA	hypothetical protein KGM_02326	NA	NA
DPOGS200150	DPOGS102328	TRUE	TRUE	TRUE	Tetraspanin E118	0.105	Msex2.13025	NA	tetraspanin e118	Msex2.00999	FBgn0029507
DPOGS200206	DPOGS110975	TRUE	TRUE	TRUE	Tfpi protein	1	Msex2.02475	NA	tfpi protein	NA	FBgn0003137
DPOGS200283	DPOGS100359	TRUE	TRUE	TRUE	Putative ATP-binding protein	1	Msex2.13825	NA	atp-binding protein	NA	NA
DPOGS200293	DPOGS104578	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	FBgn0032431	hypothetical protein KGM_04578	NA	NA
DPOGS200327	DPOGS113185	TRUE	FALSE	FALSE	"Actin 5C, isoform B"	0.455	Msex2.08645	FBgn0000047	NA	NA	NA
DPOGS200328	DPOGS113185	FALSE	FALSE	TRUE	"Actin 5C, isoform B"	NA	NA	NA	actin-4	Msex2.07366	FBgn0000042
DPOGS200337	DPOGS105772	TRUE	TRUE	TRUE	Putative cohesin subunit	1	Msex2.05354	NA	cohesin subunit	NA	FBgn0262123
DPOGS200340	DPOGS104560	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA
DPOGS200355	DPOGS116847	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.07821	FBgn0035032	hypothetical protein KGM_16847	NA	NA
DPOGS200359	DPOGS100351	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.13828	NA	hypothetical protein KGM_00351	NA	NA
DPOGS200377	DPOGS119563	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_19563	Msex2.01111	FBgn0016691
DPOGS200384	DPOGS113656	FALSE	TRUE	TRUE	Mitochondrial dicarboxylate carrier	NA	NA	NA	mitochondrial dicarboxylate carrier	Msex2.02701	FBgn0027610
DPOGS200407	DPOGS117353	FALSE	TRUE	TRUE	Uncharacterized protein	1	Msex2.02606	FBgn0031912	hypothetical protein KGM_17353	NA	NA
DPOGS200423	NA	FALSE	FALSE	TRUE	NA	NA	NA	NA	PREDICTED: uncharacterized protein LOC101746778	Msex2.02626	NA
DPOGS200427	DPOGS104050	TRUE	TRUE	TRUE	Uncharacterized protein	1	Msex2.01624	FBgn0261439	hypothetical protein KGM_04050	NA	NA
DPOGS200465	DPOGS100615	FALSE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_00615	Msex2.08151	NA
DPOGS200485	DPOGS121760	TRUE	TRUE	TRUE	Uncharacterized protein	NA	NA	NA	hypothetical protein KGM_11713	Msex2.02968	NA
