Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
DPOGS216216-TA_Gili_FL_28_F_ctg340	NG	0.0391837	0.21247	0.18442	0.000158087	306	70.2603	235.74	NA	22	13	9	NA	NA	0.0789718	1:1:1:1:1:1	0.349673(0.490196:0.323529:0.235294)	NA	NA	NA	NA
DPOGS216216-TA_Gili_FL_28_F_ctg340	LWL	0.0382806	0.249572	0.153385	1.60998e-07	306	64.1667	241.833	197.5:66.5:42	22	16.0142	9.25753	5:3:8	2.5:1.5:2	0.0825874	5.33333:5.33333:1:1:1:1	0.349673(0.490196:0.323529:0.235294)	NA	NA	NA	NA
DPOGS216216-TA_Gili_FL_28_F_ctg340	MLWL	0.0423686	0.18302	0.231497	7.59827e-05	306	87.5	218.5	197.5:66.5:42	22	16.0142	9.25753	5:3:8	2.5:1.5:2	0.0825874	5.33333:5.33333:1:1:1:1	0.349673(0.490196:0.323529:0.235294)	NA	NA	NA	NA
DPOGS216216-TA_Gili_FL_28_F_ctg340	LPB	0.0416864	0.178267	0.233842	7.66259e-05	306	89.8326	222.076	197.5:66.5:42	22	16.0142	9.25753	5:3:8	2.5:1.5:2	0.0825874	5.33333:5.33333:1:1:1:1	0.349673(0.490196:0.323529:0.235294)	NA	NA	NA	NA
DPOGS216216-TA_Gili_FL_28_F_ctg340	MLPB	0.0416864	0.178267	0.233842	7.66259e-05	306	89.8326	222.076	197.5:66.5:42	22	16.0142	9.25753	5:3:8	2.5:1.5:2	0.0825874	5.33333:5.33333:1:1:1:1	0.349673(0.490196:0.323529:0.235294)	NA	NA	NA	NA
DPOGS216216-TA_Gili_FL_28_F_ctg340	GY-HKY	0.0396845	0.244062	0.1626	6.80523e-06	306	63.8603	242.14	NA	22	13.6094	8.39062	NA	NA	0.0823369	4.92811:4.92811:1:1:1:1	0.349673(0.490196:0.323529:0.235294)	-474.253	954.751	NA	HKY
DPOGS216216-TA_Gili_FL_28_F_ctg340	YN	0.0388063	0.235373	0.164871	9.80255e-05	306	67.494	238.506	NA	22	13	9	NA	NA	0.0821627	8.85706:8.85706:1:1:1:1	0.349673(0.490196:0.323529:0.235294)	NA	NA	NA	NA
DPOGS216216-TA_Gili_FL_28_F_ctg340	MYN	0.0390358	0.229976	0.169739	0.000122349	306	68.758	237.242	NA	22	13	9	NA	NA	0.0819399	9.38421:8.31496:1:1:1:1	0.349673(0.490196:0.323529:0.235294)	NA	NA	NA	NA
DPOGS216216-TA_Gili_FL_28_F_ctg340	MS	0.0396845	0.244062	0.1626	6.80523e-06	306	63.8603	242.14	NA	22	13.6094	8.39062	NA	NA	0.0823369	4.92811:4.92811:1:1:1:1	0.349673(0.490196:0.323529:0.235294)	-474.253	954.751	0.461919	HKY
DPOGS216216-TA_Gili_FL_28_F_ctg340	MA	0.0390703	0.241769	0.161602	8.40926e-06	306	64.8562	241.144	NA	22	13.7426	8.25737	NA	NA	0.0820319	9.2098:9.14293:12.8425:14.8084:5.4062:1	0.349673(0.490196:0.323529:0.235294)	-479.56	NA	NA	NA
